Drug,RdRp Binding energy(kcal/mol),Mpro Binding energy(kcal/mol),TPSA,MW,XLogP3-AA,HBD,HBA,n-ROTB,n-H,n-N,n-O,n-F,n-C,n-Benzene ring,n-single bonds,n-double bonds
Raltegravir,-9.7,-9.1,152.24,444.423,0.91152,3,9,11,21,6,5,1,20,3,35,3
Daclatasvir,-9.5,-7.2,174.64,738.89,6.222,4,8,17,50,8,6,0,40,4,83,4
Simeprevir,-9.3,-8.7,156.89,749.956,5.25412,2,10,13,47,5,7,0,38,3,83,6
Dolutegravir,-8.9,-8.6,100.87,419.384,1.3528,2,6,5,19,3,5,2,20,2,37,3
Cobicistat,-8.4,-7.4,138.02,776.042,6.0007,3,10,22,53,7,5,0,40,4,86,3
Sovaldi,-8.4,-7.9,158.18,529.458,1.6565,3,10,15,29,3,9,1,22,2,51,4
Ritonavir,-8.1,-7.4,145.78,720.962,5.9052,4,9,23,48,6,5,0,37,4,76,3
Podofilox,-8,-7.4,92.68,414.41,2.4092,1,8,8,22,0,8,0,22,2,43,1
Nelfinavir,-7.9,-8.3,101.9,567.796,4.74762,4,6,12,45,3,4,0,32,2,74,2
Norvir,-7.9,-7.5,145.78,720.962,5.9052,4,9,23,48,6,5,0,37,4,76,3
Telaprevir,-7.9,-7.3,179.56,679.863,2.4459,4,8,14,53,7,6,0,36,1,94,6
Baloxavir Marboxil,-7.8,-7,99.54,571.558,3.3912,0,10,5,23,3,7,2,27,3,47,3
Pleconaril,-7.8,-7.3,74.18,381.354,4.68026,0,6,9,18,3,3,3,18,3,31,0
Combivir,-7.7,-6.8,272.67,507.182,0.15472,5,15,14,16,5,13,0,10,1,35,7
Letermovir,-7.7,-6.9,77.84,572.559,5.7074,1,8,8,28,4,4,4,29,3,53,2
Rilpivirine,-7.7,-7.9,97.42,366.428,4.9891,2,6,7,18,6,0,0,22,3,27,1
Amprenavir,-7.6,-7.7,131.19,505.637,2.4028,3,7,15,35,3,6,0,25,2,57,3
Delavirdine,-7.6,-8,110.43,456.572,2.7171,3,6,9,28,6,3,0,22,3,44,3
Saquinavir,-7.6,-9.6,166.75,670.855,3.0924,5,7,13,50,6,5,0,38,3,82,4
Doravirine,-7.5,-7.7,105.7,425.754,2.65458,1,7,5,11,5,3,3,17,3,22,2
Entecavir,-7.5,-7.3,130.05,277.284,-0.8278,4,7,5,15,5,3,0,12,2,25,2
Atazanavir,-7.4,-7.6,171.22,704.869,4.2116,5,9,17,52,6,7,0,38,3,83,4
Lopinavir,-7.4,-8.1,120,628.814,4.32814,4,5,20,48,4,5,0,37,3,76,3
Etravirine ,-7.3,-8,120.64,435.285,4.7174,2,7,7,15,6,1,0,20,3,25,0
Famciclovir,-7.3,-6.8,122.22,321.337,0.541,1,9,10,19,5,4,0,14,2,31,2
Indinavir,-7.3,-7.9,118.03,613.803,2.8669,4,7,13,47,5,4,0,36,3,76,2
Nitazoxanide,-7.3,-6.8,111.43,307.287,2.2289,1,7,5,9,3,5,0,12,2,17,3
Vicriviroc,-7.3,-7.4,61.8,533.639,4.50074,0,6,11,38,5,2,3,28,2,66,1
Elvitegravir,-7.2,-7.9,88.76,447.89,4.281,2,6,11,23,1,5,1,23,3,37,2
Peramivir,-7.2,-5.8,151.03,328.413,-0.3491,5,5,11,28,4,4,0,15,0,48,3
Remdesivir,-7.2,-7.8,203.55,602.585,2.31218,4,13,19,35,6,8,0,27,3,61,2
Fosamprenavir,-7.1,-7.7,177.72,585.616,2.5198,4,10,18,36,3,9,0,25,2,61,4
Maraviroc,-7.1,-8.7,63.05,513.677,5.95092,1,5,11,41,5,1,2,29,2,70,1
Abacavir,-7,-7.3,101.88,286.339,1.0923,3,7,6,18,6,1,0,14,2,31,1
Tenofovir,-7,-6.6,136.38,287.216,-0.0512,3,9,9,14,5,4,0,9,2,23,1
Boceprevir,-6.9,-7.2,150.7,519.687,1.7112,4,5,10,45,5,5,0,27,0,79,5
Tenofovir Disoproxil,-6.9,-6.3,185.44,519.448,3.0356,1,15,19,30,5,10,0,19,2,53,3
Valaciclovir,-6.8,-6.8,151.14,324.341,-0.7976,3,9,11,20,6,4,0,13,2,32,2
Tipranavir,-6.7,-7.7,105.59,602.675,7.3255,2,6,14,33,2,5,3,31,3,56,4
Valganciclovir,-6.7,-6.6,171.37,354.367,-1.4367,4,10,13,22,6,5,0,14,2,36,2
Vidarabine,-6.7,-7,139.54,267.245,-1.98,4,9,6,13,5,4,0,10,2,24,0
Arbidol,-6.6,-6.7,54.7,513.885,5.5988,1,6,12,26,2,3,0,22,3,40,1
Loviride,-6.6,-6.4,72.19,351.233,4.14292,2,3,7,16,2,2,0,17,2,26,2
Trifluridine,-6.6,-6.7,104.55,296.201,-0.8039,3,6,4,11,2,5,3,10,1,24,2
Adefovir,-6.5,-6.4,136.38,273.189,-0.4397,3,9,8,12,5,4,0,8,2,20,1
Ganciclovir,-6.5,-6.4,139.28,255.234,-1.9709,4,8,8,13,5,4,0,9,2,21,1
Inosine,-6.5,-7,133.49,268.229,-2.2689,4,8,5,12,4,5,0,10,2,22,1
Nevirapine,-6.5,-6.6,58.12,266.304,2.65122,1,4,2,14,4,1,0,15,2,24,1
Ribavirin,-6.5,-6.3,143.72,244.207,-3.0115,4,8,6,12,4,5,0,8,1,24,1
Penciclovir,-6.4,-6.5,130.05,253.262,-1.3073,4,7,8,15,5,3,0,10,2,23,1
Darunavir,-6.3,-8,140.42,547.674,2.3753,3,8,15,37,3,7,0,27,2,63,3
Telbivudine,-6.3,-6.4,104.55,242.231,-1.51428,3,6,5,14,2,5,0,10,1,24,2
Tenofovir Alafenamide,-6.3,-7.4,143.48,476.474,2.9729,2,10,16,29,6,5,0,21,3,46,2
Cocaine,-6.2,-6.1,55.84,303.358,1.8677,0,5,5,21,1,4,0,17,1,37,2
Viramidine,-6.2,-6.2,150.5,243.223,-2.82633,5,8,6,13,5,4,0,8,1,25,1
Zanamivir,-6.2,-6.1,200.72,332.313,-3.7855,7,8,10,20,4,7,0,12,0,39,4
Zidovudine,-6.2,-6.8,133.08,267.245,-0.19628,2,6,5,13,5,4,0,10,1,23,4
Didanosine,-6.1,-6.3,93.03,236.231,-0.2105,2,6,3,12,4,3,0,10,2,20,1
Metisazone,-6.1,-5.9,75.9,234.284,2.2112,2,4,3,10,4,1,0,10,2,15,2
Moroxydine,-6.1,-5.7,100.72,171.204,-1.47323,3,2,0,13,5,1,0,6,0,23,2
Atripla,-6,-6.3,388.74,1198.449,6.3655,6,28,25,53,9,19,4,45,4,105,8
Idoxuridine,-6,-5.8,104.55,354.1,-1.2181,3,6,4,11,2,5,0,9,1,21,2
Imiquimod,-6,-6.5,56.73,240.31,2.8227,1,4,5,16,4,0,0,14,3,21,0
Tromantadine,-6,-6.1,41.57,280.412,1.6496,1,3,8,28,2,2,0,16,0,49,1
Emtricitabine,-5.9,-6.3,90.37,247.251,-0.455,2,7,4,10,3,3,1,8,1,20,1
Acyclovir,-5.8,-5.8,119.05,225.208,-1.3318,3,7,6,11,5,3,0,8,2,17,1
Stavudine,-5.8,-6.1,84.32,224.216,-0.70908,2,5,4,12,2,4,0,10,1,20,3
Cidofovir,-5.7,-6,147.9,279.189,-1.6618,4,9,10,14,3,6,0,8,1,24,2
Oseltamivir,-5.7,-6,90.65,312.41,1.2854,2,5,12,28,2,4,0,16,0,47,3
Lamivudine,-5.4,-5.6,90.37,229.261,-0.5941,2,7,4,11,3,3,0,8,1,20,1
Rimantadine,-5.4,-4.9,26.02,179.307,2.55,1,1,3,21,1,0,0,12,0,36,0
Doconasol,-5.3,-4.4,45.51,481.379,6.2043,0,5,7,22,2,3,0,26,4,36,0
Amantadine,-5.2,-4.6,26.02,151.253,1.9139,1,1,1,17,1,0,0,10,0,30,0
Zalcitabine,-5.2,-6,90.37,211.221,-0.5046,2,6,4,13,3,3,0,9,1,22,1
Foscarnet,-4.8,-4.5,94.83,126.004,-0.1579,3,5,3,3,0,5,0,1,0,7,2
Pyrimidine,-3.9,-3.5,25.78,80.09,0.4766,0,2,0,4,2,0,0,4,1,4,0